date,state,county,city,college,cases,stateRestrictionsMasksRequired,cumulativeCases,openStatus,closingStatus,latitude,longitude
2020-11-05,Alabama,Madison,Huntsville,Alabama A&M University,41,yes,199158,,,,
2020-11-05,Alabama,Montgomery,Montgomery,Alabama State University,,yes,199158,,,,
2020-11-05,Alabama,Limestone,Athens,Athens State University,23,yes,199158,,,,
2020-11-05,Alabama,Lee,Auburn,Auburn University,2047,yes,199158,Completely Open,Thanksgiving,47.307522,-122.22575
2020-11-05,Alabama,Montgomery,Montgomery,Auburn University at Montgomery,80,yes,199158,,,,
2020-11-05,Alabama,Walker,Jasper,Bevill State Community College,4,yes,199158,,,,
2020-11-05,Alabama,Jefferson,Birmingham,Birmingham-Southern College,196,yes,199158,,,,
2020-11-05,Alabama,Limestone,Tanner,Calhoun Community College,36,yes,199158,,,,
2020-11-05,Alabama,Tallapoosa,Alexander City,Central Alabama Community College,24,yes,199158,,,,
2020-11-05,Alabama,Coffee,Enterprise,Enterprise State Community College,32,yes,199158,,,,
2020-11-05,Alabama,Etowah,Gadsden,Gadsden State Community College,45,yes,199158,,,,
2020-11-05,Alabama,Montgomery,Montgomery,Huntingdon College,,yes,199158,,,,
2020-11-05,Alabama,Calhoun,Jacksonville,Jacksonville State University,219,yes,199158,,,,
2020-11-05,Alabama,Covington,Andalusia,Lurleen B. Wallace Community College,16,yes,199158,,,,
2020-11-05,Alabama,Perry,Marion,Marion Military Institute,5,yes,199158,,,,
2020-11-05,Alabama,Jefferson,Fairfield,Miles College,,yes,199158,,,,
2020-11-05,Alabama,Jefferson,Birmingham,Samford University,379,yes,199158,,,,
2020-11-05,Alabama,Marshall,Boaz,Snead State Community College,13,yes,199158,,,,
2020-11-05,Alabama,Randolph,Wadley,Southern Union State Community College,59,yes,199158,,,,
2020-11-05,Alabama,Mobile,Mobile,Spring Hill College,113,yes,199158,,,,
2020-11-05,Alabama,Pike,Troy,Troy University,628,yes,199158,,,,
2020-11-05,Alabama,Houston,Dothan,Troy University Dothan,12,yes,199158,,,,
2020-11-05,Alabama,Montgomery,Montgomery,Troy University Montgomery,16,yes,199158,,,,
